Industry,Description,String
Financial Services,"Title: NoSQL Engineer
Location: Pennington, NJ
Duration: 12+ Months

Top 3 Technical Skills: 
3+ years of NoSQL Big Data product and information architecture, including Cassandra, or MemSQL 
5+ years in infrastructure design across a broad range of technologies (middleware, database, web, load balancers, firewalls, etc), most importantly Linux 
5+ yearsâ€™ experience providing on-call production support of Big Data / NoSQL systems, operating systems such as Linux, etc. 

Required Skills: 
5+ years in infrastructure design across a broad range of technologies (middleware, database, web, load balancers, firewalls, etc) 
5+ years in Linux - Must be capable of installing Linux, understanding RAID options, diagnosing network, I/O, memory, and CPU bottlenecks 
7+ years in large scale systems design and engineering (supporting 10k+ users and 1MM+ daily transactions with extremely high availability/resiliency) 
2+ years in Solr/Lucene 
2+ years in Hadoop ecosystem including Map-Reduce, Hive, and Pig 
2+ years in NoSQL Big Data product and information architecture including products such as Cassandra and Mongo (or other similar key-value stores) 
3+ years in at least one of Python/Bash/Perl/Ruby scripting environments 
3+ years in Java development and related frameworks (Spring, Struts, SOAP, XML, REST, etc) 
3+ years in Data Modeling & Data Migration/ETL (Extract-Transform-Load) functions for large data stores (Relational and/or Unstructured data) 
1+ years in BI tools and reporting software (Pentaho, Cognos, etc) 
Deep understanding of Relational vs NoSQL distributed database architectures (for example - explain fundamental differences between Oracle RAC and MongoDB) 
Ability to explain CAP theorem and its applicability to different problems 
Previous role that included operational/production support of a critical environment (customer impact if down) 
Contributors to open-source projects will be given high consideration (show us your work in GitHub)",NoSQL AND (Cassandra w/20 MemSQL) AND NOT (&#34;Database Administrator&#34; OR &#34;Hadoop Administrator&#34;)
Higher Education,Conference Attendee Lists,site:sched.org/directory/attendees OR site:sched.com/directory/attendees
Information Technology & Services,Database Architecture,(Engineer OR Architect OR Developer) AND (datawarehouse OR &#34;Data warehouse&#34; OR warehouse OR &#34;ware-house&#34; OR &#34;ware house&#34; OR dw) AND (SSIS OR SSRS) AND ETL
Computer & Network Security,Hybris and Java Developer Toronto,(developer OR programmer OR consultant) AND (java OR j2ee) AND Hybris AND Toronto
Computer Software,Resume search for Hybris Java Dev Toronto,(intitle:resume OR intitle:cv OR inurl:resume OR inurl:cv) AND (developer OR programmer OR consultant) AND (java OR j2ee) AND Hybris AND Toronto
Computer Software,Clinical/RN Product Sales or Pre-sales,(â€œRegistered Nurseâ€ OR RN) AND Sales AND clinical AND (â€œintegration of clinical contentâ€ OR â€œclinical workflowâ€ OR â€œCrimsonâ€ OR â€œHealth Information Managementâ€ OR â€œSoftware Documentationâ€ OR â€œHITâ€ OR â€œHealthcare Information Technologyâ€ OR â€œPerformance Improvementâ€ OR â€œclinical informaticsâ€ OR â€œpopulation healthâ€ OR â€œpre-sales supportâ€ OR â€œdemonstrationâ€ OR â€œHospital Information Systemâ€ OR â€œHealth Information Exchangeâ€ OR â€œSoftware Implementationâ€ OR â€œinformaticsâ€ OR â€œStrategic Planningâ€ OR â€œsales and supportâ€ OR â€œQuality analyticsâ€ OR â€œOPPEâ€ OR â€œClinical product supportâ€ OR â€œnational sales teamâ€ OR â€œDemoâ€ OR â€œGroup Presentationsâ€ OR â€œSales Operationsâ€ OR â€œBenchmarkingâ€ OR â€œMedical Technologyâ€)
Financial Services,Controller for Tier 1 automotive supplier,(CAO OR &#34;Chief Accounting Officer&#34; OR Controller) AND (account* OR  finance OR financial OR &#34;fp&a&#34; OR fpa) AND &#34;cost analysis&#34; AND (&#34;plastic injection molding&#34; OR &#34;chrome plating&#34; OR &#34;tier 1&#34; OR &#34;tier one&#34;)
Information Technology & Services,Software Engineer with Java or JSE experience in Unix environment,(&#34;Software Engineer&#34; OR &#34;Software Developer&#34; OR &#34;Software Programmer&#34;) AND (JSE OR JAVA OR JEE) AND (Unix OR Linux)
Information Technology & Services,Automation Tester,(QA OR â€œQuality Analystâ€ OR â€œQA Testerâ€ OR â€œQuality Assuranceâ€ OR â€œAutomation Testerâ€ OR â€œAutomation Engineerâ€) AND Test* AND Automat* AND (Java OR Python)
Electrical & Electronic Manufacturing,buyer,(buyer or purchasing) AND (buyer assistant)
Information Technology & Services,Software Development Engineer in Test,&#34;SDET&#34; OR &#34;Software Development Engineer in Test&#34;
Computer Software,resumes from slideshare,site:slideshare.net (â€œData Scientistâ€ OR â€œMachine Learningâ€) (intitle:resume OR inurl:resume)(india)
Computer Software,resumes on github,site:github.com (â€œDOM AND HTML5â€) (intitle:resume OR inurl:resume)
Information Technology & Services,"Desired Skills and Experience:
â€¢	2-3 years of experience managing inventory levels for a retail and/or e-commerce business
â€¢	2-3 years of experience managing third-party vendors
â€¢	Strong working knowledge of Microsoft Excel
â€¢	Must have strong analytical abilities
â€¢	Must have excellent written and verbal communication skills
â€¢	Must have shown effectiveness managing multiple projects 
â€¢	Must have a strong attention to detail
â€¢	Bachelorâ€™s Degree in related field preferred
â€¢	Experience with Tableau or other data visualization software preferred
â€¢	Experience working in the vide.",(Tableau OR Essbase OR SAP OR Access) AND (retail OR ebiz OR â€œe-businessâ€ OR â€œe businessâ€ OR â€œe-bizâ€ OR ecommerce OR â€œe-commerceâ€ OR â€œe commerceâ€ OR â€œinventory management systemsâ€)
Machinery,"As a Strategic Purchasing Manager â€“ Indirect you will be responsible for the following scope of duties:

Development and Implementation of purchasing strategies as well as changing prevailing strategic plans
Specification development on the foundation of stakeholder needs & market offering
Analysis of purchasing categories launch sourcing initiatives where needed as well as the related evaluation of suppliers
Negotiation with suppliers & establishment of frame agreementsClose cooperation with stakeholders and departments
Supplier management: building up a trusted relationship with key vendors
Producing reports, statistics and calculations for report to substantial hierarchy levels",&#34;Strategic Purchasing&#34; OR &#34;Strategic Procurement&#34; OR &#34;Procurement&#34; OR &#34;Purchasing&#34; OR &#34;Sourcing&#34;
Automotive,"To perform this job successfully, an individual must have the necessary knowledge on Manufacturing process and quality topics.
The requirements listed below are representative of the knowledge, skill, and/or ability required:
Bachelor&#39;s Engineering in Mechanical / Electrical / Electronics with 6 to 8 years of experience in Manufacturing Process study and documentation of electro-mechanical products for Medical, Aerospace or Automotive Industry
Experience in Component Inspection and documentations, standard Work instructions for commodities such as printed circuit board assemblies, power supplies, cables, custom battery packs, mechanical parts (plastics, machined, sheet metal), cables, etc..
Experience in SAP and Data Management.
Experience in regulated industry, Medical preferred
Knowledge of FDA standards such as 21 CFR Part 820, 21 CFR Part 11, ISO 13485, etc.,
Good teamwork skills, can work independently, not afraid to speak up, and works well with others

Primary Skills:
- BS in Electrical/Industrial/Mechanical Engineering
- 8 years working experience in Medical / Aerospace / Automotive Manufacturing quality process
- Experience in Inspection of electro mechanical commodities",(Manufacture AND manufacturing) AND (Device OR Devices) AND Medical AND (Assembly Line)
Information Technology & Services,"Global, data-driven CMO, high-tech",(Marketing) (analytics OR &#39;&#39;data science&#39;&#39; OR &#39;&#39;big data&#39;&#39;) (global OR International OR worldwide) (B2B OR B-to-B OR &#39;&#39;Business to Business&#39;&#39; OR Technology OR &#39;&#39;High Tech&#39;&#39;) (Director OR VP OR CMO OR Chief)
Consumer Goods,HR Directors in privately owned companies in lifestyle products,((HR OR &#39;&#39;Human Resources&#39;&#39; OR Talent) (Director OR VP OR Directeur OR Chief)) (private equity OR Family OR &#34;independent company&#34;) (lifestyle OR fashion OR cosmetics OR cosmetica OR retail OR &#39;&#39;personal care&#39;&#39;)
Information Technology & Services,develop and deliver customers with unique implementations through the on-boarding and adoption phases until deployment and transfer necessary knowledge for customer success.,javascript AND jquery
Information Technology & Services,UX Writer,(&#34;UX Designer&#34; OR Copywriter OR &#34;Online Writer&#34; OR &#34;Technical Writer&#34; OR &#34;Content Strategist&#34; OR &#34;Content Lead&#34; OR &#34;Communications *&#34;) (microcopy OR &#34;landing *&#34; OR storytelling OR &#34;* writing&#34;)
Information Technology & Services,Copywriter,(&#34;* copywriter&#34; OR &#34;content (lead OR strategist)&#34; OR &#34;community editor&#34; OR &#34;performance marketing *&#34;) ((ga OR &#34;google analytics&#34;) OR &#34;content (calendar OR strategy OR optimization)&#34; OR &#34; &#34;) AND (unbounce OR optimizely OR hotjar) AND (buffer OR hootsuite) AND (moz OR canva)
Marketing & Advertising,PPC Manager,(&#34;ppc *&#34; OR &#34;* ads *&#34; OR &#34;campaign *&#34; OR &#34;* paid *&#34; OR &#34;online marketing *&#34; OR &#34;digital marketing *&#34; OR &#34;programmatic marketing *&#34; OR &#34;programmatic advertising *&#34;) (roi OR ltv OR cac)
Computer Software,React.js Engineer,(&#34;full-stack JS *&#34; OR &#34;full-stack *&#34; OR &#34;* front-end *&#34; OR &#34;js *&#34; OR &#34;javascript *&#34; OR &#34;frontend *&#34; OR &#34;front end *&#34; OR &#34;front-end *&#34; OR &#34;reactjs *&#34; OR &#34;react *&#34;) (graphql AND (redux OR mobx)) (reactjs  OR react OR react.js)
Information Technology & Services,DevOps AWS,"(devops OR &#34;devops *&#34; OR &#34;site reliability *&#34; OR cloudops OR &#34;Systems, Infrastructure *&#34; OR &#34;system *&#34; NOT developer NOT software NOT founder OR &#34;development operations *&#34;) AND bash AND docker AND (aws OR &#34;amazon web services&#34;)"
Information Technology & Services,APPLICATION DEVELOPER,â€œData structuresâ€ OR â€œdata manipulationâ€ OR â€œdatabasesâ€ OR â€œdesignâ€ OR â€œprogrammingâ€ OR â€œtestingâ€ OR â€œimplementationâ€ OR (â€œDOT NETâ€ OR â€œ. NETâ€) OR â€œWEB APPLICATIONSâ€
Computer & Network Security,System Admin with Secret Clearance in California,(intitle:resume OR intitle:cv) â€œSystem Administratorâ€ (Secret or Clearance) (CA or California) (UNIX or LINUX) -job -jobs -sample â€“templates
Information Technology & Services,Data Analyst - health care,(â€œHealthcareâ€ OR &#34;Health care&#34;) AND (â€œStatistical analysisâ€ OR  â€œPresentation skillsâ€ OR â€œGroup presentationâ€)
Information Technology & Services,Scrum master,(&#34;Scrum Master&#34; OR &#34;Scrum&#34;) AND (â€œProject Managementâ€ OR â€œAgile Development Methodologiesâ€ OR â€œSCRUM methodologyâ€ OR â€œFunctional Business Analysisâ€ OR â€œPlanning sprint deliveryâ€)
Information Technology & Services,Crum developer,(â€œCuram developerâ€ OR â€œcuram engineerâ€) AND (â€œCuram V6 Certified Developerâ€ OR â€œCuram V6â€ OR â€œCuram Enterprise Framework Componentsâ€ OR â€œCuram Intelligent Evidence Gatheringâ€ OR â€œIEG2â€ OR â€œCuram Express Rules for Triageâ€ OR â€œCERTâ€) AND ( â€œHTMLâ€ OR â€œDHTMLâ€ OR â€œJavaScriptâ€ OR â€œOpen source Java frameworkâ€) AND (&#34;Struts&#34; OR &#34;Springs&#34;) AND (â€œAjaxâ€ OR â€JQueryâ€ OR â€œDojoâ€ OR â€œSOAâ€ OR â€œweb servicesâ€ OR â€œWebsphereâ€ OR â€œESBâ€ OR â€œMessage Brokerâ€ OR â€œEclipseâ€ OR â€œJIRAâ€ OR â€œWebserviceâ€ OR â€œOracleâ€)
Computer Software,Secret Clearance Application Developer in California on GitHub,(â€œapp developerâ€ OR â€œapplication developerâ€) (Linux or Unix) (Secret or Clearance) And &#34;California&#34; site:github.com
Hospital & Health Care,RN&#39;s Anywhere,(intitle:resume OR intitle:cv) (RN OR Registered Nurse) -job -jobs -sample -examples
Information Technology & Services,ETL Developer,"&#34;SQL Server DBA&#34;, &#34;Developer&#34;, &#34;Etl Developer&#34;, &#34;Data Analyst&#34; +Skills:XML, SQL, Database Administration, Microsoft SQL Server, SharePoint, SQL Server Reporting Services (SSRS), Quality Assurance, Database Design, Crystal Reports, Software Documentation, Extract, Transform, Load (ETL), , PostgreSQL, Active Server Pages (ASP), PHP, FTP, Secure File Transfer Protocol (SFTP), Pretty Good Privacy (PGP), Unix, Linux +Skill:XML OR SQL OR Database Administration OR Microsoft SQL Server OR SharePoint OR SQL Server Reporting Services (SSRS) OR Quality Assurance OR Database Design OR Crystal Reports OR Software Documentation OR Extract, Transform, Load (ETL) OR OR PostgreSQL OR Active Server Pages (ASP) OR PHP OR FTP OR Secure File Transfer Protocol (SFTP) OR Pretty Good Privacy (PGP) OR Unix OR Linux"
Information Technology & Services,Platform Engineer,&#34;(platform AND (architecture OR infrastructure) AND (&#34;cloud computing&#34; OR &#34;data center&#34; OR SOA OR saas OR &#34;solution architecture&#34; OR &#34;data platform&#34; OR &#34;cloud platform&#34; OR &#34;distributed systems&#34; OR openstack) AND (python OR java OR mongodb OR redis OR ruby OR rails OR scala OR postgresql OR hadoop OR spark))&#34;
Information Technology & Services,Python Developer,&#34;(python AND (django OR flask OR web.py) AND (&#34;full stack&#34; OR fullstack OR full-stack OR backend OR &#34;back end&#34; OR back-end OR mysql OR mongodb OR redis OR nosql OR sql OR postgresql))&#34;
Information Technology & Services,QA,&#34;((&#34;test plan&#34; OR &#34;test cases&#34; OR &#34;test automation&#34; OR &#34;software test&#34; OR &#34;qa test&#34; OR &#34;qa automation&#34; OR &#34;a/b testing&#34;) AND (ios OR android OR mobile OR web OR api OR apis OR ui OR selenium OR scripting OR devops OR jenkins OR integration))&#34;
Information Technology & Services,Ruby Developer,&#34;(ruby AND (rails OR rack OR sinatra) AND (mysql OR mongodb OR redis OR nosql OR sql OR postgresql))&#34;
Information Technology & Services,Security Engineer,&#34;(security AND (&#34;network security&#34; OR encryption OR authentication OR cryptography OR &#34;security compliance&#34; OR &#34;information security&#34; OR &#34;computer security&#34; OR cybersecurity OR &#34;cyber security&#34;) AND (malware OR antivirus OR worm OR trojan OR spam OR phishing OR fraud OR exploit OR vulnerability OR pki OR ids OR ips OR &#34;access control&#34; OR audit OR policy OR dlp OR &#34;data loss protection&#34; OR compliance OR cissp OR pci OR risk OR privacy OR identity OR forensics OR intrusion OR attack OR ddos))&#34;
Information Technology & Services,Storage Engineer,&#34;((&#34;storage engineer&#34; OR &#34;storage architect&#34; OR &#34;storage engineering&#34; OR &#34;storage system&#34; OR &#34;data storage&#34; OR &#34;storage software&#34; OR &#34;cloud storage&#34;) AND (&#34;storage area networks&#34; OR das OR nas) AND (virtualization OR san OR &#34;cloud computing&#34; OR vmware OR &#34;data center&#34; OR &#34;disaster recovery&#34; OR netapp OR &#34;high availability&#34;))&#34;
Information Technology & Services,Systems Engineer,&#34;((&#34;system engineer&#34; OR &#34;systems engineer&#34; OR &#34;systems engineering&#34; OR &#34;system engineering&#34; OR &#34;distributed systems&#34;) AND (virtualization OR &#34;data center&#34; OR security OR networking OR &#34;cloud computing&#34; OR &#34;operating systems&#34;))&#34;
Information Technology & Services,UI/UX,&#34;((ui OR ux OR &#34;user interface&#34; OR &#34;user experience&#34; OR graphic OR visual OR interaction) AND (developer OR design OR designer) AND (css OR html OR dreamweaver OR photoshop OR javascript OR illustrator OR wireframes OR web OR &#34;front end&#34; OR front-end OR frontend OR sketch OR &#34;html5 &amp; css3&#34; OR ios OR mobile OR android))&#34;
Information Technology & Services,Web Developer,&#34;(css AND html AND javascript AND (php OR java OR node.js OR nodejs OR .net OR python OR django OR ruby OR rails) AND (mysql OR mongodb OR redis OR nosql OR sql OR postgresql) AND (ajax OR jquery OR angular.js OR angularjs OR angular OR backbone.js OR backbone OR react.js OR react))&#34;
Information Technology & Services,PHP,&#34;(php AND (mysql OR mongodb OR redis OR nosql OR sql OR postgresql) AND (cakephp OR laravel OR codeigniter OR symfony OR zend OR phalcon OR yii OR backend OR back-end OR &#34;back end&#34;))&#34;
Information Technology & Services,Node.JS,&#34;((node.js OR nodejs) AND (mysql OR mongodb OR redis OR nosql OR sql OR postgresql) AND (Socket.io OR Mean.js OR mean OR Sails.js OR sails OR backend OR back-end OR &#34;back end&#34;))&#34;
Information Technology & Services,Java,&#34;((java OR j2ee OR &#34;java ee&#34; OR &#34;java enterprise edition&#34; OR javaee) AND (spring OR hibernate OR struts OR jsf) AND (sql OR mysql OR mongodb OR jdbc OR nosql) AND (jboss OR servlet OR servlets OR jsp OR ejb OR tomcat OR maven))&#34;
Information Technology & Services,Network Engineer,&#34;((&#34;network engineer&#34; OR &#34;network systems&#34; OR &#34;network engineering&#34; OR &#34;network design&#34;) AND (&#34;cisco technologies&#34; OR switches OR vpn OR firewalls OR &#34;network security&#34; OR routers OR networking OR tcp/ip OR troubleshooting OR routing OR &#34;data center&#34; OR &#34;cisco ios&#34; OR wan OR &#34;network administration&#34; OR ospf OR bgp OR dns OR &#34;network architecture&#34; OR ccna OR juniper OR lan-wan OR voip OR &#34;cisco routers&#34; OR virtualization OR &#34;disaster recovery&#34;))&#34;
Information Technology & Services,iOS,&#34;(ios AND (&#34;objective c&#34; OR objective-c) AND (swift OR xcode OR &#34;cocoa touch&#34; OR tvOS OR watchOS))&#34;
Information Technology & Services,Full Stack,&#34;(javascript AND css AND html AND (php OR java OR node.js OR nodejs OR .net OR python OR django OR ruby OR rails) AND (mysql OR mongodb OR redis OR nosql OR sql OR postgresql) AND (&#34;full stack&#34; OR fullstack OR full-stack OR backend OR &#34;back end&#34; OR back-end OR &#34;front end&#34; OR frontend OR front-end OR jquery OR angular.js OR angularjs OR angular OR backbone.js OR backbone OR react.js OR react))&#34;
Information Technology & Services,Front-end,&#34;(javascript AND css AND html AND (ajax OR jquery OR angular.js OR angularjs OR angular OR backbone.js OR backbone OR react.js OR react OR ember OR ember.js) AND (&#34;front end&#34; OR frontend OR front-end OR html5 OR css3 OR bootstrap OR ui OR &#34;user interface&#34;))&#34;
Information Technology & Services,DevOps,&#34;(((devops AND automations AND operations) OR (devops AND performance AND monitoring) OR &#34;site reliability&#34; OR sre OR (build AND release)) AND (&#34;continuous integration&#34; OR &#34;continuous deployment&#34; OR ci OR cd OR chef OR nagios OR puppet OR icinga OR jenkins OR docker OR rocket OR ansible OR saltstack OR fabric OR collectd OR collectl OR consul.io OR elk OR monit OR nginx OR nuget OR cfengine OR saltstack OR capistrano OR qubell OR gradle OR nexus OR zabbix OR splunk OR &#34;new relic&#34; OR newrelic OR dynatrace OR bluestripe))&#34;
Information Technology & Services,Data Engineer,&#34;((&#34;data engineer&#34; OR &#34;data analysis&#34;) AND (&#34;data mining&#34; OR &#34;machine learning&#34; OR &#34;big data&#34; OR &#34;data science&#34; OR &#34;data scientist&#34; OR &#34;data warehouse&#34; OR &#34;data warehousing&#34;) AND (python OR sql OR r OR hadoop OR nosql OR etl OR analytics OR statistics OR java OR mysql OR databases OR aws OR scala))&#34;
Information Technology & Services,Business Analyst,&#34;((&#34;business analyst&#34; OR &#34;business analysis&#34; OR &#34;business analytic&#34; OR &#34;business intelligence&#34;) AND (sql OR tableau OR &#34;data analysis&#34; OR marketing OR operations OR statistics OR python OR &#34;microsoft excel&#34; OR reporting OR &#34;sales analysis&#34;))&#34;
Information Technology & Services,Back end,&#34;((php OR java OR j2ee OR node.js OR nodejs OR .net OR python OR django OR ruby OR rails) AND (mysql OR mongodb OR redis OR nosql OR sql OR postgresql) AND (&#34;full stack&#34; OR fullstack OR full-stack OR backend OR &#34;back end&#34; OR back-end))&#34;
Information Technology & Services,.Net Backend,&#34;(.net AND (c# OR asp.net OR &#34;sql server&#34;) AND (mvc OR backend OR &#34;back end&#34; OR back-end OR &#34;full stack&#34; OR full-stack OR fullstack OR &#34;entity framework&#34; OR ado.net OR t-sql OR iis OR linq OR wcf OR wpf OR webapi OR &#34;windows azure&#34; OR &#34;visual studio&#34;))&#34;
Computer & Network Security,System Engineer in California with Cyber and Secret,(intitle:resume OR intitle:cv) &#34;System Engineer&#34; (Secret or Clearance) (CA or California) (Cyber or Cyber Security) -job -jobs -sample â€“templates
Information Technology & Services,Information security engineer,((&#34;security&#34; OR &#34;information security&#34;) AND &#34;network security&#34;) OR (&#34;computer security&#34; AND &#34;networking&#34;) OR (&#34;active directory&#34; OR &#34;troubleshooting&#34;)
Information Technology & Services,network security engineer,((&#34;firewalls&#34; OR &#34;vpn&#34;) AND &#34;network security&#34;) OR (&#34;networking&#34; AND &#34;security&#34;) OR (&#34;switches&#34; OR &#34;windows server&#34;)
Information Technology & Services,CISO and Information Security Management,((&#34;cissp&#34; OR &#34;computer security&#34;) AND &#34;information security&#34;) OR (&#34;information security management&#34; AND &#34;risk management&#34;) OR (&#34;it management&#34; OR &#34;it strategy&#34;)
Information Technology & Services,Sharepoint Infrastructure Admin,((&#34;security&#34; OR &#34;infopath forms&#34;) AND &#34;ssis&#34;) OR (&#34;requirements analysis&#34; AND &#34;controlpoint&#34;) OR (&#34;nintex&#34; OR &#34;sharepoint designer&#34;)
Information Technology & Services,Pega Lead,"(&#34;Pega PRPC&#34; OR &#34;Pega Rules Process Commander&#34; OR &#34;Pega Openspan&#34; OR &#34;Pega Architect&#34; OR &#34;Pega Lead&#34; OR &#34;Pega&#34;) 

AND 

(&#34;Java&#34; OR J2ee ) 

AND 

(&#34;CLSA&#34; OR LSA OR &#34;Certified Lead System Architect&#34; OR &#34;Lead System Architect&#34;)"
Information Technology & Services,Blockchain Roles,(blockchain or &#34;block chain&#34; or &#34;block-chain&#34;) AND (Ethereum OR Hyperledger OR DAAPS OR &#34;Smart Contracts&#34;) AND (&#34;head of department&#34; OR &#34;sales head&#34; OR &#34;Practice head&#34; OR &#34;GM&#34; OR &#34;VP&#34; OR &#34;vice president&#34; OR leader)
Marketing & Advertising,Alliance Head,"(&#34;alliance&#34; OR &#34;alliances&#34; OR &#34;Partnership&#34; OR &#34;Partner&#34; or &#34;Partnerships&#34;) AND (&#34;Business&#34; OR &#34;Marketing&#34;) 

AND 

(&#34;Sales&#34; OR &#34;Business Development&#34;) AND (&#34;solutioning&#34; or &#34;Solution selling&#34; OR &#34;consultative selling&#34;) AND (&#34;Government&#34; OR &#34;PSU&#34; OR &#34;MCD&#34;)"
Computer Software,SDLC + GIS,(SDLC OR &#34;Software development life cycle&#34;) AND (Corejava OR &#34;core java&#34;) AND (geospatial OR &#34;geo-spatial&#34; OR &#34;Geographic information system&#34; OR &#34;geo-spat&#34; OR &#34;GIS&#34;)
Computer Games,passionate about video games,Editor AND starwars AND fps
Information Technology & Services,Search Developer (Solr),(Solr or &#34;Solr Search&#34; OR &#34;Lucene&#34; OR &#34;Apache Solr&#34;) AND (&#34;Solr cloud&#34;) AND (&#34;installation&#34; OR &#34;configuration&#34;)
Business Supplies & Equipment,Project Manager,(â€œProject Managerâ€ OR â€œProject Managementâ€ OR &#34;PMP&#34;)
Industrial Automation,searching for sales profile,(intitle:resume OR intitle: OR cv intitle: vitae) (sales) (mumbai) -job -jobs -sample -templates
Information Technology & Services,Full Stack Developer,(&#34;Full Stack Developer&#34; OR &#34;Full Stack Development&#34; OR &#34;Full Stack&#34;) AND (Java OR &#34;J2EE&#34; OR &#34;J 2 EE&#34; OR &#34;J2ME&#34; OR &#34;J2SE&#34; OR &#34;JEE&#34; OR &#34;JavaEE&#34; OR &#34;Java EE&#34; OR &#34;.NET&#34; OR &#34;dotnet&#34; OR &#34;dot net&#34; OR &#34;Dot-net&#34; OR &#34;Ado.net&#34; OR &#34;Asp.net&#34; OR &#34;C#.net&#34;) AND (â€œHTML5â€ ORâ€HTMLâ€ OR â€œCSS3â€ OR â€œCSSâ€ OR â€Typescriptâ€ OR â€JSâ€ OR â€œReactâ€ OR â€œAngular5â€ OR Entity OR â€œMVCâ€) AND â€œTestâ€ AND (Develop OR  Development OR program OR programming) AND â€œSQLâ€
Information Technology & Services,System Engineer,System AND Engineer AND (Linux OR &#34;Red Hat Linux&#34; OR &#34;Red Hat Certified System Administrator&#34; OR &#34;RHCSA&#34; OR &#34;Red Hat Certified Engineer&#34; OR &#34;RHCE&#34; OR &#34;Red Hat Certified Architect&#34; OR &#34;RHCA&#34; OR &#34;Red Hat Certified Virtualization Administrator&#34; OR &#34;RHCVA&#34;) AND (Install OR Installation OR Configuration OR Configure) AND Server
Defense & Space,sharepoint developer,&#34;CI Polygraph&#34; AND &#34;Sharepoint Developer&#34; AND &#34;Infopath&#34;
"Health, Wellness & Fitness",grand opening yoga,Grand Opening AND Yoga Studio
"Health, Wellness & Fitness",Fitness search,site: facebook.com &#34;updated their cover photo&#34; and &#34;fitness studio&#34; AND &#34;89 people like this&#34;
Information Technology & Services,EPIC ANALYST,(EPIC) AND (Certified) AND (Analyst) AND (Referrals OR Applications)
Automotive,Quality engineering shortcuts,(ppap OR 8D OR apqp OR sqm OR sqa OR sqe OR qe OR qm OR qa OR cqm OR cqe OR spe)
Computer Software,"3+ years of extensive front end development experience and frameworks including JavaScript MVC Frameworks, AngularJS 
*3+ years of Java web development experience 
*1+ years of Restful web service (APIs) development experience 
*1+ years of experience in securing Restful APIs using Industry standard protocols 
*Experience with relational databases and NoSQL 
*2+ years of experience in User-Centered Design, including wireframing, usability principles, screen layout design and user testing 
*1+ years of experience designing full-service consumer and/or business applications 
*Experience with designing mobile interfaces and good understanding of major mobile OS visual/UX paradigms",(&#39;&#39;JavaScript&#39;&#39;) (mvc) (Restful) (webservice) (NoSQL) (&#39;&#39;User-Centered Design&#39;&#39;) (&#39;&#39;OS visual&#39;&#39; OR &#39;&#39;UX paradigms&#39;&#39;)
Information Technology & Services,"Java Entwickler, die eine neue Herausforderung suchen",(Java OR &#39;&#39;Java Development&#39;&#39;) (Herausforderung OR &#39;&#39;neue Herausforderung&#39;&#39;) site:linkedin.com/in
